yr,school_name,conf_abbr,wins,losses,ties,win_loss_pct,wins_conf,losses_conf,ties_conf,win_loss_pct_conf,points_per_g,opp_points_per_g,confname
1892,Minnesota,Ind,5,0,0,1,0,0,0,0,24.4,11.2,Ind
1892,Purdue,Ind,8,0,0,1,0,0,0,0,39.8,2.8,Ind
1892,Yale,Ind,13,0,0,1,0,0,0,0,33,0,Ind
1892,Cornell,Ind,10,1,0,0.909,0,0,0,0,39.5,4.9,Ind
1892,Harvard,Ind,10,1,0,0.909,0,0,0,0,33.2,3.8,Ind
1892,Pennsylvania,Ind,15,1,0,0.938,0,0,0,0,25.3,3.3,Ind
1892,Princeton,Ind,13,2,0,0.867,0,0,0,0,31.5,1.2,Ind
1892,Tufts,Ind,8,2,0,0.8,0,0,0,0,17.2,8.9,Ind
1892,Army,Ind,3,1,1,0.7,0,0,0,0,18,3.6,Ind
1892,Navy,Ind,5,2,0,0.714,0,0,0,0,20.9,9.1,Ind
1892,Amherst,Ind,9,5,0,0.643,0,0,0,0,22.7,10.1,Ind
1892,Chicago,Ind,8,4,1,0.654,0,0,0,0,12.2,11.1,Ind
1892,Dartmouth,Ind,5,3,0,0.625,0,0,0,0,12.8,18.3,Ind
1892,Illinois,Ind,7,4,1,0.625,0,0,0,0,20,7.7,Ind
1892,Michigan,Ind,7,5,0,0.583,0,0,0,0,24.8,14.2,Ind
1892,MIT,Ind,4,3,0,0.571,0,0,0,0,10.3,16.3,Ind
1892,Northwestern,Ind,6,4,2,0.583,0,0,0,0,11.7,9.3,Ind
1892,Springfield,Ind,4,3,0,0.571,0,0,0,0,12.3,14.3,Ind
1892,Wisconsin,Ind,4,3,0,0.571,0,0,0,0,14.6,13.7,Ind
1892,Brown,Ind,4,5,1,0.45,0,0,0,0,6,8.6,Ind
1892,Lafayette,Ind,5,7,0,0.417,0,0,0,0,10.5,11.6,Ind
1892,Massachusetts,Ind,4,6,2,0.417,0,0,0,0,16.2,16.8,Ind
